G: [ 3.1415, 0 ]
P: [ 2.61327, -1.21888 ]
K: [ 2.47365, -1.21888 ]
K: [ 2.61327, -1.07925 ]
K: [ 2.61327, -1.3585 ]
P: [ 2.05477, -0.939626 ]
K: [ 2.19439, -0.939626 ]
K: [ 1.91514, -0.939626 ]
K: [ 2.05477, -0.8 ]
K: [ 2.05477, -1.07925 ]
P: [ 1.77551, -0.101869 ]
K: [ 1.91514, -0.101869 ]
K: [ 1.63589, -0.101869 ]
K: [ 1.77551, 0.177384 ]
K: [ 1.77551, -0.381121 ]
P: [ 1.77551, -0.381121 ]
K: [ 1.91514, -0.381121 ]
K: [ 1.63589, -0.381121 ]
K: [ 1.77551, 0.0377573 ]
K: [ 1.77551, -0.8 ]
P: [ 1.77551, 0.0377573 ]
K: [ 1.91514, 0.0377573 ]
K: [ 1.63589, 0.0377573 ]
K: [ 1.77551, 0.31701 ]
K: [ 1.77551, -0.241495 ]
P: [ 1.77551, -0.241495 ]
K: [ 1.91514, -0.241495 ]
K: [ 1.63589, -0.241495 ]
K: [ 1.77551, 0.177384 ]
K: [ 1.77551, -0.660374 ]
P: [ 2.47365, -1.21888 ]
K: [ 2.61327, -1.21888 ]
K: [ 2.33402, -1.21888 ]
K: [ 2.47365, -1.07925 ]
K: [ 2.47365, -1.3585 ]
P: [ 1.77551, 0.177384 ]
K: [ 1.91514, 0.177384 ]
K: [ 1.63589, 0.177384 ]
K: [ 1.77551, 0.31701 ]
K: [ 1.77551, 0.0377573 ]
P: [ 1.77551, 0.31701 ]
K: [ 1.91514, 0.31701 ]
K: [ 1.63589, 0.31701 ]
K: [ 1.77551, 0.456636 ]
K: [ 1.77551, 0.177384 ]
P: [ 2.19439, -1.07925 ]
K: [ 2.33402, -1.07925 ]
K: [ 2.05477, -1.07925 ]
K: [ 2.19439, -0.939626 ]
K: [ 2.19439, -1.21888 ]
P: [ 1.91514, -0.8 ]
K: [ 2.05477, -0.8 ]
K: [ 1.77551, -0.8 ]
K: [ 1.91514, -0.520748 ]
K: [ 1.91514, -1.07925 ]
P: [ 1.77551, -0.520748 ]
K: [ 1.91514, -0.520748 ]
K: [ 1.63589, -0.520748 ]
